index,name,newPerct2013
1,Michael,0.011577378
2,James,0.010217802
3,John,0.009674625
4,Robert,0.009493041
5,David,0.008942785
6,William,0.007484223
7,Mary,0.006838695
8,Christopher,0.005900618
9,Joseph,0.005410443
10,Richard,0.005346068
11,Daniel,0.005137934
12,Thomas,0.004921973
13,Matthew,0.00449675
14,Jennifer,0.004333024
15,Charles,0.004279666
16,Anthony,0.003839543
17,Patricia,0.003784193
18,Linda,0.003750607
19,Mark,0.003559006
20,Elizabeth,0.003529611
21,Joshua,0.003510055
22,Steven,0.003451827
23,Andrew,0.003389027
24,Kevin,0.003294404
25,Brian,0.003243775
26,Barbara,0.003206957
27,Jessica,0.003178297
28,Jason,0.002968752
29,Susan,0.002941335
30,Timothy,0.002879603
31,Paul,0.002871882
32,Kenneth,0.002765864
33,Lisa,0.002748822
34,Ryan,0.002743624
35,Sarah,0.002685581
36,Karen,0.002659691
37,Jeffrey,0.002643618
38,Donald,0.002617185
39,Ashley,0.002572428
40,Eric,0.002531803
41,Jacob,0.002509661
42,Nicholas,0.002504323
43,Jonathan,0.00249748
44,Ronald,0.002443364
45,Michelle,0.002412134
46,Kimberly,0.002392179
47,Nancy,0.00235079
48,Justin,0.002287972
49,Sandra,0.002272959
50,Amanda,0.002253396
51,Brandon,0.002248512
52,Stephanie,0.002230039
53,Emily,0.002223143
54,Melissa,0.002211791
55,Gary,0.002177796
56,Edward,0.002171435
57,Stephen,0.00214625
58,Scott,0.002101678
59,George,0.002092109
60,Donna,0.002089152
61,Jose,0.002088244
62,Rebecca,0.002016157
63,Deborah,0.00200814
64,Laura,0.001964074
65,Cynthia,0.001962408
66,Carol,0.001962063
67,Amy,0.00192889
68,Margaret,0.001893102
69,Gregory,0.001880936
70,Sharon,0.001879978
71,Larry,0.001865539
72,Angela,0.001854516
73,Maria,0.001828145
74,Alexander,0.001802733
75,Benjamin,0.001798116
76,Nicole,0.001768699
77,Kathleen,0.001753995
78,Patrick,0.001738516
79,Samantha,0.001720314
80,Tyler,0.001711589
81,Samuel,0.001685638
82,Betty,0.001655137
83,Brenda,0.001641718
84,Pamela,0.001621139
85,Aaron,0.001614858
86,Kelly,0.001568246
87,Heather,0.001532339
88,Rachel,0.001531442
89,Adam,0.001521678
90,Christine,0.001518606
91,Zachary,0.001514892
92,Debra,0.001510044
93,Katherine,0.001481158
94,Dennis,0.001464707
95,Nathan,0.001455609
96,Christina,0.001434938
97,Julie,0.001418157
98,Jordan,0.001415965
99,Kyle,0.001413469
100,Anna,0.001400271
